lemma,pos,synonyms,hypernyms
roomer,NN,boarder|lodger|roomer,tenant|renter
rotundity,NN,globosity|globularness|rotundity|rotundness|roundness|sphericalness|sphericity,roundness|tone|tone of voice
rudiment,NN,ABC|ABC's|ABCs|alphabet|first principle|first rudiment|rudiment,fundamentals|basics|fundamental principle|basic principle|bedrock|body part
sedulously,RB,sedulously,NA
seedbed,NN,seedbed,bed
sentimentalize,VB,sentimentalise|sentimentalize|sentimentise|sentimentize,misrepresent|belie|change|alter|modify|act|behave|do
shadowbox,VB,shadowbox,box
shipbuilder,NN,ship builder|shipbuilder|shipwright,wright|builder|constructor|business|concern|business concern|business organization|business organisation
smirch,VB,asperse|besmirch|calumniate|defame|denigrate|slander|smear|smirch|sully,smear|charge|accuse
smirch,NN,blot|daub|slur|smear|smirch|smudge|spot|stain,blemish|defect|mar|mistake|error|fault
smoulder,VB,smolder|smoulder,feel|experience|burn|combust
spectroscope,NN,prism spectroscope|spectroscope,optical instrument
splintery,JJ,slivery|splintery,NA
sporty,JJ,clean|flashy|gaudy|jazzy|showy|sporting|sportsmanlike|sporty,NA
stanch,VB,halt|stanch|staunch|stem,check
stonemason,NN,mason|stonemason,craftsman|artisan|journeyman|artificer
stouthearted,JJ,stalwart|stouthearted,NA
strongbox,NN,deedbox|strongbox,box
sublease,NN,sublease|sublet,lease|rental|letting
sublease,VB,sublease|sublet,lease|let|rent
sweatband,NN,sweatband,band
systematization,NN,rationalisation|rationalization|systematisation|systematization,organization|organisation
thickheaded,JJ,blockheaded|boneheaded|duncical|duncish|fatheaded|loggerheaded|thick|thick-skulled|thickheaded|wooden-headed,NA
threepence,NN,threepence,coin
toneless,JJ,toneless,NA
tramline,NN,streetcar track|tramline|tramway,track
transfuse,VB,cup|instill|transfuse,lend|impart|bestow|contribute|add|bring|pour|treat|care for|administer|dispense
transmigrate,VB,migrate|reincarnate|transmigrate,be born|move
transplantable,JJ,transplantable,NA
tremulously,RB,tremulously,NA
twirler,NN,baton twirler|hurler|pitcher|twirler,performer|performing artist|thrower|ballplayer|baseball player
ultramodern,JJ,ultramodern,NA
unblinkingly,RB,unblinkingly,NA
unimposing,JJ,unimposing,NA
unuttered,JJ,unexpressed|unsaid|unspoken|unstated|unuttered|unverbalised|unverbalized|unvoiced,NA
unwonted,JJ,unwonted,NA
viselike,JJ,viselike,NA
vocalic,JJ,vocalic,NA
voltaic,JJ,galvanic|voltaic,NA
walkaway,NN,blowout|laugher|romp|runaway|shoo-in|walkaway,victory|triumph
wingback,NN,wingback,back
alfresco,JJ,alfresco|open-air(a),NA
alfresco,RB,alfresco|out of doors|outdoors|outside,NA
amicability,NN,amicability|amicableness,friendliness
abstractedly,RB,absently|absentmindedly|abstractedly|inattentively,NA
affectedly,RB,affectedly,NA
aircraftsman,NN,aircraftman|aircraftsman,noncommissioned officer|noncom|enlisted officer
annunciate,VB,announce|annunciate|foretell|harbinger|herald,tell
argumentatively,RB,argumentatively|disputatiously,NA
assailable,JJ,assailable|open|undefendable|undefended,NA
atrophy,NN,atrophy|wasting|wasting away|withering,symptom|weakening
attorn,VB,attorn,admit|acknowledge
avowal,NN,affirmation|avouchment|avowal,assertion|averment|asseveration
badinage,NN,badinage,banter|raillery|give-and-take|backchat
bailee,NN,bailee,agent
bailor,NN,bailor,deliverer
barm,NN,barm|yeast,leaven|leavening
basely,RB,basely|meanly|scurvily,NA
betoken,VB,augur|auspicate|bespeak|betoken|bode|forecast|foreshadow|foretell|indicate|omen|point|portend|predict|prefigure|presage|prognosticate|signal,tell|bespeak|betoken|indicate|point|signal
bibulous,JJ,bibulous|boozy|drunken|sottish,NA
biddy,NN,biddy|chick|hen,chicken|Gallus gallus|young bird
bigamous,JJ,bigamous,NA
biliousness,NN,biliousness|irritability|peevishness|pettishness|snappishness|surliness|temper,ill health|unhealthiness|health problem|ill nature
bitchy,JJ,bitchy|cattish|catty,NA
boastfulness,NN,boastfulness|vainglory,conceit|conceitedness|vanity
bobsledding,NN,bobsledding,sledding
bosk,NN,bosk,forest|wood|woods
bounden,JJ,bounden,NA
bract,NN,bract,husk
brindled,JJ,brinded|brindle|brindled|tabby,NA
