lemma,pos,synonyms,hypernyms
Cameroon,NN,Cameroon|Cameroun|Republic of Cameroon,NA
playfully,RB,playfully,NA
shyness,NN,shyness,timidity|timidness|timorousness
cull,VB,cull|pick|pluck,get rid of|remove|gather|garner|collect|pull together
cull,NN,cull|reject,decision making|deciding
halftime,NN,halftime,pause|intermission|break|interruption|suspension
hubris,NN,hubris,arrogance|haughtiness|hauteur|high-handedness|lordliness
illustrative,JJ,demonstrative|exemplifying|illustrative,NA
incandescent,JJ,candent|incandescent,NA
resplendent,JJ,glorious|resplendent|splendid|splendiferous,NA
undamaged,JJ,undamaged,NA
amphibian,NN,amphibian|amphibious aircraft|amphibious vehicle,motor vehicle|automotive vehicle|airplane|aeroplane|plane|vertebrate|craniate
bedrock,NN,basic principle|basics|bedrock|fundamental principle|fundamentals,rock|stone|principle
bulkhead,NN,bulkhead,partition|divider
burg,NN,burg,town
commendable,JJ,applaudable|commendable|laudable|praiseworthy,NA
dampen,VB,break|damp|dampen|deaden|dull|moisten|muffle|mute|soften|stifle|tone down|wash|weaken,suppress|stamp down|inhibit|subdue|conquer|curb|wet|soften|weaken|dampen|damp|break|check|retard|delay|deaden|blunt
delinquent,JJ,delinquent|derelict|neglectful|overdue|remiss,NA
delinquent,NN,delinquent|juvenile delinquent,wrongdoer|offender
dispensation,NN,dispensation,license|permission|permit|share|portion|part|percentage|distribution
Dutchman,NN,Dutchman|Hollander|Netherlander,European
incinerate,VB,burn|incinerate,burn down|burn up|go up|change integrity
macaroni,NN,macaroni,dandy|dude|fop|gallant|sheik|beau|swell|fashion plate|clotheshorse|pasta|alimentary paste
oligarchy,NN,oligarchy,political system|form of government
patronize,VB,buy at|condescend|frequent|keep going|patronage|patronise|patronize|shop|shop at|sponsor|support,support|back up|interact|foster|nurture
penance,NN,penance|penitence|repentance|self-abasement|self-mortification,compunction|remorse|self-reproach|sacrament|punishment|penalty|penalization|penalisation
slumber,NN,sleep|slumber,physical condition|physiological state|physiological condition|dormancy|quiescence|quiescency
slumber,VB,catch some Z's|kip|log Z's|sleep|slumber,rest
snarl,NN,maze|snarl|tangle,utterance|vocalization|facial expression|facial gesture|perplexity
snarl,VB,embrangle|entangle|mat|snap|snarl|snarl up|tangle,talk|speak|utter|mouth|verbalize|verbalise|sound|go|twist|twine|distort|complicate|perplex
Sparta,NN,Sparta,NA
streptococcus,NN,strep|streptococci|streptococcus,eubacteria|eubacterium|true bacteria
unofficially,RB,on the side|unofficially,NA
wench,NN,bird|chick|dame|doll|skirt|wench,girl|miss|missy|young lady|young woman|fille
xenophobic,JJ,xenophobic,NA
NEHRU,NN,Jawaharlal Nehru|Nehru,NA
replaceable,JJ,replaceable,NA
adrenal,JJ,adrenal,NA
amphibious,JJ,amphibian|amphibious,NA
daydream,NN,air castle|castle in Spain|castle in the air|daydream|daydreaming|oneirism|reverie|revery,dream|dreaming
generality,NN,generalisation|generality|generalization,idea|thought|quality
glib,JJ,glib|glib-tongued|pat|slick|smooth-tongued,NA
idiosyncratic,JJ,idiosyncratic,NA
inadvertent,JJ,accidental|inadvertent,NA
insulate,VB,insulate|isolate,change|alter|modify|discriminate|separate|single out
myopia,NN,myopia|nearsightedness|shortsightedness,ametropia
Scotsman,NN,Scot|Scotchman|Scotsman,European
incessantly,RB,always|ceaselessly|constantly|continuously|endlessly|forever|incessantly|perpetually|unceasingly|unendingly,NA
misspelling,NN,misspelling,spelling
pug,NN,pug|pug-dog,dog|domestic dog|Canis familiaris
pyrotechnic,JJ,pyrotechnic|pyrotechnical,NA
RACINE,NN,Jean Baptiste Racine|Jean Racine|Racine,NA
wold,NN,wold,country|rural area
borax,NN,borax,mineral
desolation,NN,bareness|bleakness|desolation|devastation|forlornness|loneliness|nakedness,deterioration|impairment|gloom|gloominess|glumness|sadness|unhappiness|ruin|ruination
drab,JJ,blue|dark|dingy|disconsolate|dismal|drab|drear|dreary|gloomy|grim|olive-drab|sober|somber|sombre|sorry,NA
duster,NN,dust coat|dust storm|dustcloth|duster|dustrag|gabardine|gaberdine|sandstorm|sirocco|smock,windstorm|coverall|piece of cloth|piece of material|pitch|delivery
equestrian,JJ,equestrian,NA
equestrian,NN,equestrian|horseback rider|horseman,rider
flax,NN,flax,plant fiber|plant fibre|herb|herbaceous plant
gunboat,NN,gunboat,boat
horoscope,NN,horoscope,prediction|foretelling|forecasting|prognostication|diagram
naively,RB,naively,NA
ordnance,NN,artillery|gun|heavy weapon|munition|ordnance|ordnance store,armament
Ptolemy,NN,Claudius Ptolemaeus|Ptolemaic dynasty|Ptolemy,dynasty
sweetly,RB,sweet|sweetly,NA
thunderstorm,NN,electric storm|electrical storm|thunderstorm,storm|violent storm
Topeka,NN,capital of Kansas|Topeka,NA
WOODRUFF,NN,Asperula odorata|fragrant bedstraw|Galium odoratum|sweet woodruff|waldmeister|woodruff,bedstraw|subshrub|suffrutex
airliner,NN,airliner,airplane|aeroplane|plane
attache,NN,attache|attache case,specialist|specializer|specialiser|briefcase
blurt,VB,blunder|blunder out|blurt|blurt out|ejaculate,talk|speak|utter|mouth|verbalize|verbalise
bravely,RB,bravely|courageously,NA
corral,NN,cattle pen|corral|cow pen,pen
gastrointestinal,JJ,gastrointestinal|GI,NA
grammatically,RB,grammatically,NA
liken,VB,compare|equate|liken,study|consider
litmus,NN,litmus|litmus test,acid-base indicator
meaty,JJ,meaty|substantive,NA
topographic,JJ,topographic|topographical,NA
unadulterated,JJ,arrant(a)|complete(a)|consummate(a)|double-dyed(a)|everlasting(a)|gross(a)|perfect(a)|pure(a)|sodding(a)|staring(a)|stark(a)|thoroughgoing(a)|unadulterated|utter(a),NA
HATHAWAY,NN,Anne Hathaway|Hathaway,NA
affront,NN,affront|insult,discourtesy|offense|offence|offensive activity
affront,VB,affront|diss|insult,hurt|wound|injure|bruise|offend|spite
chaser,NN,chaser|pursuer,follower|drink
chaste,JJ,chaste,NA
crescendo,NN,crescendo,volume|loudness|intensity
crumb,NN,bum|crumb|dirty dog|git|lowlife|puke|rat|rotter|scum bag|skunk|so-and-so|stinker|stinkpot,small indefinite quantity|small indefinite amount|unpleasant person|disagreeable person|morsel|bit|bite
disobey,VB,disobey,refuse|decline
entomology,NN,bugology|entomology,zoology|zoological science
gaunt,JJ,bony|cadaverous|emaciated|gaunt|haggard|pinched|skeletal|wasted,NA
immaturity,NN,immatureness|immaturity,state
intermediate,NN,intermediate,chemical|chemical substance
letdown,NN,disappointment|letdown,dissatisfaction
mastiff,NN,mastiff,working dog
nitric,JJ,azotic|nitric|nitrous,NA
outlay,NN,disbursal|disbursement|expenditure|outgo|outlay|spending,payment|defrayal|defrayment|transferred property|transferred possession
plumb,VB,plumb,quantify|measure|burden|burthen|weight|weight down|explore|adjust|set|correct
Prussian,NN,Prussian,German
Prussian,JJ,Prussian,NA
scathing,JJ,scathing|vituperative,NA
uplift,VB,elate|intoxicate|lift up|pick up|uplift,stimulate|shake|shake up|excite|stir|rise|lift|arise|move up|go up|come up|uprise|push up
bethel,NN,bethel,place of worship|house of prayer|house of God|house of worship
firth,NN,firth|Firth|J. R. Firth|John Rupert Firth,estuary
STARKEY,NN,Richard Starkey|Ringo Starr|Starkey|Starr,NA
urination,NN,micturition|urination,elimination|evacuation|excretion|excreting|voiding
apologetic,JJ,apologetic|excusatory,NA
churn,VB,boil|churn|moil|roil,stir|move
dry,NN,dry|prohibitionist,reformer|reformist|crusader|social reformer|meliorist
dry,JJ,dry|ironic|ironical|juiceless|teetotal|wry,NA
eloquence,NN,eloquence|fluency|smoothness,expressive style|style
fondle,VB,caress|fondle,stroke
ratchet,NN,rachet|ratch|ratchet,mechanical device
ratchet,VB,rachet up|ratchet|ratchet down,advance|progress|pass on|move on|march on|go on
retrain,VB,retrain,train|develop|prepare|educate
sabbatical,NN,sabbatical|sabbatical leave,leave|leave of absence
selfless,JJ,altruistic|selfless,NA
speller,NN,good speller|poor speller|speller,writer|primer
stumble,NN,lurch|misstep|stagger|stumble|trip|trip-up,gait|blunder|blooper|bloomer|bungle|pratfall|foul-up|fuckup|flub|botch|boner|boo-boo
tenacity,NN,doggedness|perseverance|persistence|persistency|pertinacity|tenaciousness|tenacity,determination|purpose
welder,NN,welder,craftsman|artisan|journeyman|artificer
heuristic,NN,heuristic|heuristic program|heuristic rule,rule|formula
spectacularly,RB,spectacularly|stunningly,NA
clinch,VB,clench|clinch,fasten|fix|secure|hold|take hold|seize|prehend|clutch|embrace|hug|bosom|squeeze|settle|square off|square up|determine
clinch,NN,clamp|clench|clinch|hug|squeeze,maneuver|manoeuvre|evasive action|noose|running noose|slip noose|fastener|fastening|holdfast|fixing|holding device|embrace|embracing|embracement
forester,NN,arboriculturist|C. S. Forester|Cecil Scott Forester|forester|Forester|tree farmer,farmer|husbandman|granger|sodbuster
immobile,JJ,fast|firm|immobile,NA
Kafka,NN,Franz Kafka|Kafka,NA
Pasteur,NN,Louis Pasteur|Pasteur,NA
precarious,JJ,parlous|perilous|precarious|shaky|touch-and-go|unstable,NA
priestly,JJ,hieratic|hieratical|priestlike|priestly|sacerdotal,NA
sadist,NN,sadist,pervert|deviant|deviate|degenerate
defamatory,JJ,calumniatory|calumnious|defamatory|denigrating|denigrative|denigratory|libellous|libelous|slanderous,NA
miasma,NN,miasm|miasma,atmosphere|ambiance|ambience|air pollution
Bacchus,NN,Bacchus,NA
caramel,NN,buff|caramel|caramel brown|caramelized sugar|raw sienna|yellowish brown,candy|confect|sugar|refined sugar|brown|brownness
chimp,NN,chimp|chimpanzee|Pan troglodytes,great ape|pongid
drugstore,NN,apothecary's shop|chemist's|chemist's shop|drugstore|pharmacy,shop|store
inquest,NN,inquest,inquiry|enquiry
intercontinental,JJ,intercontinental,NA
omnipresent,JJ,omnipresent|ubiquitous,NA
phosphor,NN,phosphor,synthetic|synthetic substance
recount,NN,recount,count|counting|numeration|enumeration|reckoning|tally
trifle,NN,small beer|technicality|trifle|trivia|triviality,pudding|pud|detail|item|point|object|physical object
trifle,VB,dally|frivol|piddle|piddle away|play|trifle|wanton|wanton away,spend|expend|drop|act|behave|do|consider|take|deal|look at
ungrateful,JJ,thankless|ungrateful|unthankful,NA
selenium,NN,atomic number 34|Se|selenium,chemical element|element|antioxidant
strenuously,RB,strenuously,NA
axiomatic,JJ,aphoristic|axiomatic|axiomatical|postulational|self-evident|taken for granted(p),NA
botanist,NN,botanist|phytologist|plant scientist,biologist|life scientist
coinage,NN,coinage|metal money|mintage|neologism|neology|specie,currency|word|invention
covertly,RB,covertly,NA
elongation,NN,elongation|extension,longness|addition|add-on|improver|change of shape
frostbite,NN,cryopathy|frostbite,injury|hurt|harm|trauma
heron,NN,Hero|Hero of Alexandria|heron|Heron,wading bird|wader
interfaith,JJ,interfaith,NA
jamboree,NN,blowout|gala|gala affair|jamboree,celebration|festivity
orchestration,NN,instrumentation|orchestration,musical arrangement|arrangement|arranging|transcription
palate,NN,palate|roof of the mouth,surface
qualitatively,RB,qualitatively,NA
ream,NN,ream,large indefinite quantity|large indefinite amount|definite quantity
remuneration,NN,earnings|pay|remuneration|salary|wage,regular payment|payment|defrayal|defrayment
shoestring,NN,shoe lace|shoe string|shoelace|shoestring,lace|lacing|small indefinite quantity|small indefinite amount
snorkel,NN,breather|schnorchel|schnorkel|snorkel|snorkel breather,breathing device|breathing apparatus|breathing machine|ventilator|air passage|air duct|airway
snorkel,VB,snorkel,dive
stewardship,NN,stewardship,position|post|berth|office|spot|billet|place|situation
stockpile,NN,backlog|reserve|stockpile,accumulation|pile|heap|mound|agglomerate|cumulation|cumulus
stockpile,VB,carry|stock|stockpile,have|have got|hold
flashpoint,NN,flash point|flashpoint,criticality|temperature
HEGEL,NN,Georg Wilhelm Friedrich Hegel|Hegel,NA
librarianship,NN,librarianship,position|post|berth|office|spot|billet|place|situation
bearable,JJ,bearable|endurable|sufferable|supportable,NA
communicative,JJ,communicative|communicatory,NA
content,VB,content,limit|circumscribe|confine|satisfy|gratify
ecclesiastical,JJ,ecclesiastic|ecclesiastical,NA
fleck,NN,bit|chip|dapple|flake|fleck|maculation|patch|scrap|speckle|spot,fragment|marking
fleck,VB,blob|blot|fleck|spot,change surface
forbid,VB,disallow|forbid|foreclose|forestall|interdict|nix|preclude|prevent|prohibit|proscribe|veto,command|require
furor,NN,craze|cult|fad|furor|furore|rage,fashion|disturbance
infraction,NN,infraction|infringement|misdemeanor|misdemeanour|violation,crime|offense|criminal offense|criminal offence|offence|law-breaking
mindful,JJ,aware|mindful,NA
penultimate,JJ,next-to-last|penultimate,NA
penultimate,NN,penult|penultima|penultimate,syllable
secondhand,JJ,secondhand|used,NA
smudge,NN,blot|daub|slur|smear|smirch|smudge|spot,fire|blemish|defect|mar
smuggle,VB,smuggle,export|import
torrent,NN,cloudburst|deluge|downpour|flood|inundation|pelter|soaker|torrent|violent stream|waterspout,rain|rainfall|current|stream|batch|deal|flock|good deal|great deal|hatful|heap|lot|mass|mess|mickle|mint|mountain|muckle|passel|peck|pile|plenty|pot|quite a little|raft|sight|slew|spate|stack|tidy sum|wad
whimsical,JJ,capricious|impulsive|whimsical,NA
apocryphal,JJ,apocryphal|Apocryphal,NA
mow,NN,hayloft|haymow|mow,loft|attic|garret
YAKIMA,NN,Yakima,NA
complacency,NN,complacence|complacency|self-complacency|self-satisfaction,satisfaction
cowl,NN,bonnet|cowl|cowling|hood,protective covering|protective cover|protection|hood
dingo,NN,Canis dingo|dingo|warragal|warrigal,wild dog
eclipse,VB,dominate|eclipse|occult|overshadow,brood|hover|loom|bulk large|overshadow
enamel,NN,enamel|tooth enamel,solid body substance|compound|chemical compound|paint|pigment|coating|coat
feudalism,NN,feudal system|feudalism,social organization|social organisation|social structure|social system|structure
15,JJ,15|fifteen|xv,NA
15,NN,15|fifteen|XV,large integer
flutter,NN,commotion|disruption|disturbance|flap|flapping|flicker|flutter|fluttering|hoo-ha|hoo-hah|hurly burly|kerfuffle|to-do|waver,motion|movement|move|motility|cardiac arrhythmia|arrhythmia|disorder|wave|undulation
flutter,VB,bat|dart|fleet|flicker|flit|flitter|flutter|palpitate|quiver|waver,travel rapidly|speed|hurry|zip|move back and forth|beat|flap|pound|thump|blink|wink|nictitate|nictate
foyer,NN,antechamber|anteroom|entrance hall|foyer|hall|lobby|vestibule,room
imbecile,NN,changeling|cretin|half-wit|idiot|imbecile|moron|retard,simpleton|simple
infinitesimal,JJ,infinitesimal|minute,NA
magnify,VB,amplify|blow up|enlarge|exaggerate|hyperbolise|hyperbolize|magnify|overdraw|overstate,enlarge|misinform|mislead|increase
pert,JJ,impertinent|irreverent|pert|saucy,NA
pout,NN,Ameiurus Melas|eelpout|horned pout|hornpout|moue|pout|wry face,grimace|face|blennioid fish|blennioid|bullhead|bullhead catfish
pout,VB,brood|mop|mow|pout|sulk,grimace|make a face|pull a face
proportionally,RB,proportionally|proportionately,NA
sandbox,NN,sandbox|sandpile|sandpit,mold|mould|cast|plaything|toy
slipper,NN,carpet slipper|skidder|slider|slipper,footwear|footgear|person|individual|someone|somebody|mortal|soul
surly,JJ,surly|ugly,NA
theistic,JJ,theist|theistic|theistical,NA
totalitarianism,NN,absolutism|authoritarianism|Caesarism|despotism|dictatorship|monocracy|one-man rule|shogunate|Stalinism|totalism|totalitarianism|tyranny,autocracy|autarchy|political orientation|ideology|political theory
tweed,NN,flannel|gabardine|tweed|white,fabric|cloth|material|textile|trouser|pant
wallow,VB,billow|rejoice|triumph|wallow|welter,indulge|move|soar|soar up|soar upwards|surge|zoom|exult|walk on air|be on cloud nine|jump for joy|delight|enjoy|revel
tabor,NN,tabor|tabour,drum|membranophone|tympan
alibi,NN,alibi|exculpation|excuse|self-justification,defense|defence|vindication|defense|defence|vindication
colic,NN,colic|gripes|griping|intestinal colic,pain|hurting
converse,NN,converse,proposition
dibs,NN,dibs,claim
efficiency,NN,efficiency,ratio|skillfulness
exacerbate,VB,aggravate|exacerbate|exasperate|worsen,change|alter|modify|anger
illegitimacy,NN,bar sinister|bastardy|illegitimacy,status|position|unlawfulness
judicious,JJ,heady|judicious|wise,NA
lacquer,NN,lacquer,gum|coating|coat
lacquer,VB,lacquer,decorate|adorn|grace|ornament|embellish|beautify
neurologist,NN,brain doctor|neurologist,specialist|medical specialist
promenade,NN,amble|mall|perambulation|prom|promenade|saunter|stroll,ball|formal|walk|walkway|paseo|country-dance|country dancing|contredanse|contra danse|contradance|march|marching
rebuke,NN,rebuke|reprehension|reprimand|reproof|reproval,criticism|unfavorable judgment
rebuke,VB,bawl out|berate|call down|call on the carpet|chew out|chew up|chide|dress down|have words|jaw|lambast|lambaste|lecture|rag|rebuke|remonstrate|reprimand|reproof|scold|take to task|trounce,knock|criticize|criticise|pick apart
recount,VB,narrate|recite|recount|tell,inform|count|number|enumerate|numerate
acutely,RB,acutely|astutely|sagaciously|sapiently|sharp|sharply|shrewdly,NA
arid,JJ,arid|desiccate|desiccated|waterless,NA
brigadier,NN,brigadier|brigadier general,general officer
childlike,JJ,childlike|childly|dewy-eyed|round-eyed|simple|wide-eyed,NA
encroachment,NN,encroachment|impact|impingement|intrusion|invasion|trespass|usurpation|violation,entrance|entering|wrongdoing|wrongful conduct|misconduct|actus reus|influence
enumerate,VB,count|enumerate|itemise|itemize|number|numerate|recite,name|identify|determine|find|find out|ascertain
extinguish,VB,annihilate|blow out|carry off|crush out|decimate|do away with|eliminate|eradicate|extinguish|get rid of|press out|quench|snuff out|stub out|wipe out,extinguish|eliminate|get rid of|do away with|end|terminate|destroy|destruct|kill
foothold,NN,beachhead|bridgehead|foothold|footing,combat zone|combat area|support|accomplishment|achievement
fumble,NN,fumble|muff,blunder|blooper|bloomer|bungle|pratfall|foul-up|fuckup|flub|botch|boner|boo-boo
fumble,VB,ball up|blow|blunder|bobble|bodge|bollix|bollix up|bollocks|bollocks up|botch|botch up|bumble|bungle|flub|fluff|foul up|fuck up|fumble|grope|louse up|mess up|mishandle|muck up|muff|screw up|spoil,search|seek|look for|pass|go through|go across|handle|palm|fail|go wrong|miscarry|play
mythic,JJ,fabulous|mythic|mythical|mythologic|mythological,NA
sawdust,NN,sawdust,wood
Sicily,NN,Sicilia|Sicily,NA
skirmish,NN,brush|clash|encounter|skirmish,fight|fighting|combat|scrap
accumulator,NN,accumulator|accumulator register|collector|gatherer|storage battery,worker|voltaic battery|galvanic battery|register
GALATIANS,NN,Epistle of Paul the Apostle to the Galatians|Epistle to the Galatians|Galatians,NA
ides,NN,ides,day
bandage,NN,bandage|patch,dressing|medical dressing
collagen,NN,collagen,scleroprotein|albuminoid
heretofore,RB,as yet|heretofore|hitherto|so far|thus far|til now|until now|up to now|yet,NA
lioness,NN,lioness,lion|king of beasts|Panthera leo
lumpy,JJ,chunky|lumpy,NA
Neanderthal,JJ,boorish|loutish|neandertal|Neandertal|neanderthal|Neanderthal|Neanderthalian|oafish|swinish,NA
Neanderthal,NN,Homo sapiens neanderthalensis|Neandertal|Neandertal man|Neanderthal|Neanderthal man,homo|man|human being|human
sobriety,NN,dryness|graveness|gravity|soberness|sobriety|somberness|sombreness|temperance,temporary state|temperance|moderation|seriousness|earnestness|serious-mindedness|sincerity|abstinence
tomahawk,NN,hatchet|tomahawk,weapon|arm|weapon system
internment,NN,impounding|impoundment|imprisonment|internment|poundage,captivity|imprisonment|incarceration|immurement|confinement|seizure
nastiness,NN,bitchiness|cattiness|filth|filthiness|foulness|nastiness|spite|spitefulness,unsanitariness|malevolence|malevolency|malice|unpleasantness
TAKIN,NN,Budorcas taxicolor|gnu goat|takin,goat antelope
zionist,NN,Zionist,Jew|Hebrew|Israelite
astonishingly,RB,amazingly|astonishingly|surprisingly,NA
childless,JJ,childless,NA
constrain,VB,constrain|cumber|encumber|restrain|stiffen|tighten|tighten up,restrict|restrain|trammel|limit|bound|confine|throttle|restrict|restrain|trammel|limit|bound|confine|throttle
conundrum,NN,brain-teaser|conundrum|enigma|riddle,problem
disgraceful,JJ,black|disgraceful|ignominious|inglorious|opprobrious|scandalous|shameful|shocking,NA
enigmatic,JJ,enigmatic|enigmatical|oracular|puzzling,NA
firstborn,JJ,eldest|firstborn,NA
industrialist,NN,industrialist,businessman|man of affairs
modestly,RB,modestly,NA
myopic,JJ,myopic|nearsighted|short|shortsighted|unforesightful,NA
prophesy,VB,preach|prophesy|vaticinate,predict|foretell|prognosticate|call|forebode|anticipate|promise|lecture|talk
runny,JJ,fluid|runny,NA
seaman,NN,Elizabeth Cochrane Seaman|Elizabeth Seaman|gob|Jack|Jack-tar|mariner|Nellie Bly|old salt|sea dog|seafarer|seaman|Seaman|tar,sailor|crewman
singularly,RB,singularly,NA
slapstick,NN,slapstick,comedy|acoustic device
susceptibility,NN,susceptibility|susceptibleness,condition|status
Tchaikovsky,NN,Peter Ilich Tchaikovsky|Peter Tchaikovsky|Pyotr Ilych Tchaikovsky|Pyotr Tchaikovsky|Tchaikovsky,NA
unbridled,JJ,unbridled|unchecked|uncurbed|ungoverned,NA
wealthy,JJ,affluent|flush|loaded|moneyed|wealthy,NA
ecologist,NN,ecologist,biologist|life scientist
strafe,VB,strafe,attack|assail
strafe,NN,strafe,attack|onslaught|onset|onrush
adamantly,RB,adamantly,NA
admittance,NN,access|accession|admission|admittance|entree,right|entrance|entering|entry|ingress|incoming
baldness,NN,baldness|phalacrosis,hairlessness|depilation
Bauhaus,NN,Bauhaus,architectural style|style of architecture|type of architecture
brighten,VB,brighten|clear|clear up|light up|lighten|lighten up,change|alter|modify
disassembly,NN,disassembly|dismantlement|dismantling,activity
draught,NN,draft|draught|drawing|gulp|potation|swig|tipple,drink|swallow|deglutition|wind|air current|current of air|depth|deepness|dose|dosage|pull|pulling
firewood,NN,firewood,fuel
inexperience,NN,inexperience|rawness,ignorance
liquidate,VB,do in|knock off|liquidate|neutralise|neutralize|pay off|waste,kill|pay up|ante up|pay|cash|cash in|settle
mingle,VB,amalgamate|commix|jumble|mingle|mix|unify,change|alter|modify|be
taking,NN,pickings|taking,action
technologist,NN,applied scientist|engineer|technologist,person|individual|someone|somebody|mortal|soul
unfettered,JJ,unchained|unfettered|unshackled|untied,NA
demagoguery,NN,demagoguery|demagogy,entreaty|prayer|appeal
hap,NN,hap,accident|stroke|fortuity|chance event
hap,VB,come about|fall out|go on|hap|happen|occur|pass|pass off|take place,NA
allotment,NN,allocation|allotment|apportioning|apportionment|assignation|parceling|parcelling,share|portion|part|percentage|distribution
annuity,NN,annuity|rente,regular payment
banishment,NN,banishment|Coventry|ostracism|proscription,exclusion|rejection
checkup,NN,checkup|health check|medical|medical checkup|medical exam|medical examination,examination|scrutiny
delightfully,RB,delightfully,NA
limerick,NN,limerick|Limerick,verse|rhyme
oversize,JJ,outsize|outsized|oversize|oversized,NA
persevere,VB,hang in|hang on|hold on|persevere|persist,continue|uphold|carry on|bear on|preserve
registry,NN,register|registry,written record|written account
upstanding,JJ,solid|upstanding,NA
polymorph,NN,polymorph,organism|being
tosh,NN,baloney|bilgewater|boloney|bosh|drool|humbug|taradiddle|tarradiddle|tommyrot|tosh|twaddle,nonsense|bunk|nonsensicality|meaninglessness|hokum
conspicuously,RB,conspicuously|prominently,NA
emigrate,VB,emigrate,migrate|transmigrate
islander,NN,island-dweller|islander,inhabitant|habitant|dweller|denizen|indweller
obliterate,VB,blot out|efface|hide|kill|obliterate|obscure|veil|wipe out,take away|take out|change|alter|modify|blur|dim|slur|extinguish|eliminate|get rid of|do away with
onerous,JJ,burdensome|onerous|taxing,NA
portage,NN,portage,cost|track|cart track|cartroad|carry
shortfall,NN,deficit|shortage|shortfall,insufficiency|inadequacy|deficiency
silvery,JJ,argent|silver|silverish|silvern|silvery,NA
AIKEN,NN,Aiken|Conrad Aiken|Conrad Potter Aiken,NA
LOEB,NN,Jacques Loeb|Loeb,NA
archetype,NN,archetype|original|pilot,model|example
codeine,NN,codeine,opiate|analgesic|anodyne|painkiller|pain pill|antitussive
commotion,NN,commotion|din|disruption|disturbance|flutter|hoo-ha|hoo-hah|hurly burly|kerfuffle|ruckus|ruction|rumpus|to-do|tumult|whirl,disorder|disturbance|movement|motion
countenance,NN,countenance|endorsement|imprimatur|indorsement|kisser|mug|phiz|physiognomy|sanction|smiler|visage|warrant,appearance|visual aspect|approval|commendation|face|human face
countenance,VB,allow|countenance|let|permit,accept|consent|go for
docket,NN,agenda|docket|schedule,calendar|plan|program|programme
dugout,NN,bunker|dugout|dugout canoe|pirogue,shelter|canoe|fortification|munition
earnestly,RB,earnestly|in earnest|seriously,NA
epithet,NN,epithet|name,defamation|calumny|calumniation|obloquy|traducement|hatchet job|word picture|word-painting|delineation|depiction|picture|characterization|characterisation
gunpoint,NN,gunpoint|point,gun muzzle|muzzle
heyday,NN,bloom|blossom|efflorescence|flower|flush|heyday|peak|prime,time period|period of time|period
insufficiently,RB,insufficiently,NA
Maltese,NN,Maltese|Maltese cat|Maltese dog|Maltese language|Maltese terrier|Malti,European|Semitic|domestic cat|house cat|Felis domesticus|Felis catus|toy dog|toy
Maltese,JJ,Maltese,NA
musky,JJ,musky,NA
persistently,RB,persistently,NA
soma,NN,anatomy|bod|build|chassis|figure|flesh|form|frame|haoma|human body|material body|physical body|physique|Sarcostemma acidum|shape|soma|Soma,vine|Hindu deity|body|organic structure|physical structure
anathema,NN,anathema|bete noire,unpleasant person|disagreeable person|execration|condemnation|curse
rethink,VB,rethink,think|believe|consider|conceive
returnable,JJ,returnable,NA
TYROSINE,NN,tyrosine,amino acid|aminoalkanoic acid
behemoth,NN,behemoth|colossus|giant|goliath|heavyweight|monster|titan,anomaly|unusual person|important person|influential person|personage
cliffhanger,NN,cliffhanger,contest|competition|episode|installment|instalment
flywheel,NN,flywheel,governor|regulator
paltry,JJ,measly|miserable|negligible|paltry|trifling,NA
recurrence,NN,recurrence|return,repeat|repetition
scuff,VB,drag|scuff,shuffle|scuffle|shamble|wear|wear off|wear out|wear down|wear thin|scratch|scrape|scratch up|kick
scuff,NN,mule|scuff,slipper|carpet slipper|rub|wipe
transvestite,NN,cross-dresser|transvestite,person|individual|someone|somebody|mortal|soul
trig,NN,trig|trigonometry,pure mathematics
ungodly,JJ,iniquitous|sinful|ungodly,NA
dauphin,NN,dauphin,prince
deplorable,JJ,condemnable|criminal|deplorable|distressing|execrable|lamentable|miserable|pitiful|reprehensible|sad|sorry|vicious|woeful|wretched,NA
foray,NN,foray|maraud|raid,penetration|incursion|attempt|effort|endeavor|endeavour|try
foray,VB,despoil|foray|loot|pillage|plunder|ransack|reave|rifle|strip,take|penetrate|perforate
Fredericksburg,NN,Battle of Fredericksburg|Fredericksburg,NA
glycol,NN,dihydric alcohol|diol|ethanediol|ethylene glycol|glycol,antifreeze|alcohol
gunsmith,NN,gunsmith,smith
heraldry,NN,heraldry,inquiry|enquiry|research|emblem
inkling,NN,glimmer|glimmering|inkling|intimation,suggestion
inseparable,JJ,inseparable,NA
irregularly,RB,irregularly|on an irregular basis,NA
latch,VB,latch,fasten|fix|secure
olden,JJ,olden,NA
recapture,VB,recapture|retake,feel|experience|capture|take|get|catch
recapture,NN,recapture|retaking,seizure|recovery|retrieval
refresher,NN,refresher|refresher course,legal fee|beverage|drink|drinkable|potable|course|course of study|course of instruction|class
teapot,NN,teapot,pot
true,JJ,dead on target|dependable|genuine|honest|lawful|on-key|reliable|rightful(a)|straight|true|true(a)|true(p)|truthful|unfeigned,NA
twine,NN,string|twine,cord
yolk,NN,egg yolk|vitellus|yolk,ingredient|fixings|food|nutrient
brill,NN,brill|Scophthalmus rhombus,lefteye flounder|lefteyed flounder
foetus,NN,fetus|foetus,vertebrate|craniate
lupin,NN,lupin|lupine,woody plant|ligneous plant
shay,NN,chaise|shay,carriage|equipage|rig
tremolo,NN,tremolo,shaking|shakiness|trembling|quiver|quivering|vibration|palpitation|vibrato
